,day_part
0,00: All Day (12am-12am)
1,16:  HR15 (3pm-4pm)
2,22:  HR21 (9pm-10pm)
18,10:  HR09 (9am-10am)
30,09:  HR08 (8am-9am)
31,12:  HR11 (11am-12noon)
48,14:  HR13 (1pm-2pm)
54,15:  HR14 (2pm-3pm)
64,19:  HR18 (6pm-7pm)
73,11:  HR10 (10am-11am)
79,18:  HR17 (5pm-6pm)
97,13:  HR12 (12noon-1pm)
133,17:  HR16 (4pm-5pm)
1,07:  HR06 (6am-7am)
113,24:  HR23 (11pm-12am)
1,02:  HR01 (1am-2am)
2,06:  HR05 (5am-6am)
4,08:  HR07 (7am-8am)
16,20:  HR19 (7pm-8pm)
17,21:  HR20 (8pm-9pm)
19,23:  HR22 (10pm-11pm)
325,01:  HR00 (12am-1am)
557,03:  HR02 (2am-3am)
558,04:  HR03 (3am-4am)
559,05:  HR04 (4am-5am)
